,strategy,benchmark
2016-08-31,0.8556356696368167,
2016-09-30,0.9750868122037563,0.9740895261109631
2016-10-31,0.9987998701335443,1.031835518089774
2016-11-30,0.9909053090434271,1.0841503159310364
2016-12-31,0.9771298229142557,1.1318716142501304
2017-01-31,1.0544165047988194,1.1275471300082844
2017-02-28,1.1459880496079011,1.1321452557605527
2017-03-31,1.3442272620372522,1.1197259097452577
2017-04-30,1.2037527181795846,1.1367492799561987
2017-05-31,1.2539621260309797,1.163623166263587
2017-06-30,1.2942194177066288,1.1862944694922677
2017-07-31,1.3016015550022517,1.1798843650655322
2017-08-31,1.3428301697058311,1.1633667574602875
2017-09-30,1.389472995277564,1.2054122497252886
2017-10-31,1.4548265924992516,1.3034338539885446
2017-11-30,1.6053732336043243,1.345675498409791
2017-12-31,1.7815645621516554,1.3480428560077782
2018-01-31,1.9138347199982457,1.3677824015662559
2018-02-28,2.2149539753789957,1.3067872925323734
2018-03-31,2.133714591129993,1.2704324102577855
2018-04-30,1.8678219941054321,1.3304516160520463
2018-05-31,2.0641400687247504,1.3146973364133225
2018-06-30,2.028788994553971,1.3207781689126814
2018-07-31,2.0382151649003446,1.3355353803090755
2018-08-31,2.0458851553667343,1.3539769213572104
2018-09-30,2.114316009104075,1.4282860893077522
2018-10-31,1.7109871655215545,1.2980364313307264
2018-11-30,1.9651604058785916,1.323534708117842
2018-12-31,1.6123410601775245,1.1851894944328518
2019-01-31,1.5024742488484073,1.2301177063289943
2019-02-28,1.6119047046918766,1.2663381966191734
2019-03-31,1.557149831309003,1.2557178758340652
2019-04-30,1.5143122736343724,1.3180673137297596
2019-05-31,1.4176783877114785,1.21991478715467
2019-06-30,1.5587892385278281,1.2598694547259188
2019-07-31,1.540740493371234,1.274413396914697
2019-08-31,1.429231534830538,1.2260246492479072
2019-09-30,1.4739879502649345,1.2882882705752443
2019-10-31,1.656840270682298,1.357641705186778
2019-11-30,1.7928147154328036,1.3793662504254676
2019-12-31,1.9225264400642046,1.4008443332555731
2020-01-31,2.038635360858794,1.3741120095892487
2020-02-29,1.7894042683621687,1.2519961893742657
2020-03-31,1.6136142660186883,1.1201848317711898
2020-04-30,2.0503000615206033,1.1957843709524096
2020-05-31,2.397537169592273,1.2955155985491675
2020-06-30,2.6510802524515915,1.3198088580509528
2020-07-31,2.635644843138751,1.2855738300639954
2020-08-31,2.672084518357071,1.3702381201591556
2020-09-30,2.850445482842932,1.372924109355289
2020-10-31,2.9160085810141463,1.360607928271227
2020-11-30,3.481592983723727,1.5652864579026353
2020-12-31,3.5599130933160823,1.6251269755592788
2021-01-31,3.0618172244134887,1.6381082928759867
2021-02-28,3.2743293669147704,1.715243856106201
2021-03-31,3.58767768564641,1.7278444346856683
2021-04-30,3.98381873156967,1.7061614098621272
2021-05-31,4.056549564523731,1.708971150713439
2021-06-30,4.331722754313596,1.704911865112083
2021-07-31,4.5565054098216615,1.6156181065557258
2021-08-31,4.835518979347803,1.6633429902031474
2021-09-30,4.991795087146708,1.7440612216786522
2021-10-31,4.669774597047547,1.7109021391572319
2021-11-30,4.652365745001681,1.6474862395677057
2021-12-31,4.797585400878649,1.7049226210970656
2022-01-31,3.7202595966819003,1.5989423975368091
2022-02-28,3.7032978813318396,1.5708054347563338
2022-03-31,3.8539587058995646,1.6474666937455325
2022-04-30,3.772677536524387,1.589818430877587
2022-05-31,4.211049318055844,1.6153937343958695
2022-06-30,3.9518170450199284,1.5628834783328769
2022-07-31,3.9527040132493196,1.6462948696611706
2022-08-31,4.280221324393568,1.6634608434149478
2022-09-30,3.8109515033143073,1.535891276190678
2022-10-31,3.9659941259314992,1.6336120598416735
2022-11-30,4.163348264555624,1.6562046015028993
2022-12-31,4.021895883110821,1.545205265251263
2023-01-31,3.942393560826783,1.6181951480330012
2023-02-28,3.962729274747198,1.6252093224550608
2023-03-31,4.101446507506662,1.6604971647570546
2023-04-30,4.093451050268239,1.7087555683907731
2023-05-31,3.9917794061010548,1.8290488852578113
2023-06-30,4.380647782123836,1.9653136832667744
2023-07-31,4.33123496169277,1.964317655926217
2023-08-31,4.486907015913385,1.9315785194421358
2023-09-30,4.228988886549288,1.8864726603101483
2023-10-31,3.9097058782633862,1.8273297781526041
2023-11-30,4.383895281276447,1.982951185523507
2023-12-31,4.467330691400462,1.98160587781039
2024-01-31,5.148828018529057,2.1487446319828156
2024-02-29,5.619059064416598,2.319255213963719
2024-03-31,6.0033079962538825,2.3905065594738293
2024-04-30,5.415816865195139,2.274219789185006
2024-05-31,5.476981738870899,2.2790895902999044
2024-06-30,5.877833081797342,2.3439414717125095
2024-07-31,5.301485086307949,2.3154434316727195
2024-08-31,5.514754268158576,2.2885553197077733
2024-09-30,5.47580129351074,2.2454344602559977
2024-10-31,6.0258730448824345,2.314225345287356
2024-11-30,6.332388787192132,2.26251704621222
2024-12-31,7.397419175664948,2.362384863252684
2025-01-31,7.422961555712713,2.343314386222437
2025-02-28,6.42684746378133,2.200190623811274
2025-03-31,6.797495205885952,2.1091202772407156
2025-04-30,7.029962055044712,2.1344539758920194
2025-05-31,7.7678597682952635,2.2481317837158765
2025-06-30,7.824998292149636,2.397491010367496
2025-07-31,8.990387028400121,2.43198001838695
2025-08-31,9.772514955181194,2.5296059643208926
2025-09-30,10.251168631307166,2.660719108146107
2025-10-31,12.368496334799408,3.1035765500559807
2025-11-30,13.232738767045706,2.9758227432179734
2025-12-31,12.320655862657695,2.9808898530466417
2026-01-31,14.378130212300793,3.157552395814693
2026-02-28,17.562943783550377,3.4848625703172487
2026-03-31,14.96403581764378,3.0237761626323407
2026-04-30,21.768320230674348,3.5106008327908085
2026-05-31,23.405401476668164,3.9277507766572883
2026-06-30,24.29942499606757,4.1487925134643495
2026-07-31,19.69533554174758,4.011502658520951
